####,,,,,,,,,,,
##################,,"India Pollution levels, State wise, 2014-2015",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
stn_code,sampling_date,State_location,agency,type,p_value,so2,no2,pm2_rspm,location_monitoring_station,date,Year
82,31-12-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,31,20,"pm2 42,rspm 62","Chemical Division Labour Club, Nagda",12/31/2015 0:00,2015
82,30-11-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,31,18,"pm2 37,rspm 56","Chemical Division Labour Club, Nagda",11/30/2015 0:00,2015
744,27-12-14,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,30.1,57.3,"pm2 97,rspm 168","APIIC Building, IDA, Pashamylaram",12/27/2014 0:00,2014
693,11/11/2015,"Odisha,Paradeep",Odisha State Pollution Control Board,"Residential, Rural and other Areas",,30,28,"pm2 155,rspm 386",Near Overhead Water Tank of M/s PPT,11/11/2015 0:00,2015
82,24-08-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,30,20,"pm2 50,rspm 49","Chemical Division Labour Club, Nagda",8/24/2015 0:00,2015
82,9/11/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,30,18,"pm2 37,rspm 55","Chemical Division Labour Club, Nagda",11/9/2015 0:00,2015
82,29-10-15,"Karnataka,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,30,17,"pm2 37.5,rspm 44","Chemical Division Labour Club, Nagda",10/29/2015 0:00,2015
82,3/12/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,30,16,"pm2 37,rspm 56","Chemical Division Labour Club, Nagda",12/3/2015 0:00,2015
744,12/4/2014,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,29.8,81.3,"pm2 122,rspm 231","APIIC Building, IDA, Pashamylaram",4/12/2014 0:00,2014
424,23-10-14,"Odisha,Bhubaneswar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",,29,33,"pm2 214,rspm 529","Capital Police Station, Bhubaneshwar",10/23/2014 0:00,2014
82,14-12-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,29,21,"pm2 45,rspm 59","Chemical Division Labour Club, Nagda",12/14/2015 0:00,2015
82,26-10-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,29,17,"pm2 41.5,rspm 41","Chemical Division Labour Club, Nagda",10/26/2015 0:00,2015
82,5/11/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,29,16,"pm2 38,rspm 60","Chemical Division Labour Club, Nagda",11/5/2015 0:00,2015
82,16-07-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,29,16,"pm2 29,rspm 56","Chemical Division Labour Club, Nagda",7/16/2015 0:00,2015
82,12/10/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,29,15,"pm2 42,rspm 52","Chemical Division Labour Club, Nagda",10/12/2015 0:00,2015
744,18-12-14,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,28.5,73.9,"pm2 67,rspm 151","APIIC Building, IDA, Pashamylaram",12/18/2014 0:00,2014
11,24-12-15,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,28,54,"pm2 105,rspm 174","Bator, Howrah",12/24/2015 0:00,2015
82,16-11-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,28,21,"pm2 33.5,rspm 48","Chemical Division Labour Club, Nagda",11/16/2015 0:00,2015
82,21-09-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,28,20,"pm2 29.3,rspm 53","Chemical Division Labour Club, Nagda",9/21/2015 0:00,2015
82,31-08-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,28,19,"pm2 43,rspm 56","Chemical Division Labour Club, Nagda",8/31/2015 0:00,2015
82,7/9/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,28,17,"pm2 32.6,rspm 61","Chemical Division Labour Club, Nagda",9/7/2015 0:00,2015
744,28-01-14,"Karnataka,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,27.7,102.7,"pm2 70,rspm 164","APIIC Building, IDA, Pashamylaram",1/28/2014 0:00,2014
744,2/9/2014,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,27.1,100.5,"pm2 88,rspm 165","APIIC Building, IDA, Pashamylaram",9/2/2014 0:00,2014
84,11/11/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,27,34,"pm2 62.5,rspm 102","B C I Labour Club, Nagda",11/11/2015 0:00,2015
82,14-09-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,27,16,"pm2 33.3,rspm 46","Chemical Division Labour Club, Nagda",9/14/2015 0:00,2015
82,29-06-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,27,16,"pm2 21,rspm 40","Chemical Division Labour Club, Nagda",6/29/2015 0:00,2015
82,7/12/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,27,15,"pm2 45.4,rspm 60","Chemical Division Labour Club, Nagda",12/7/2015 0:00,2015
101,17-03-14,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,Industrial Area,,26.31666667,19.5,"pm2 27,rspm 72","Naroda, G.I.D.C., Ahmadabad",3/17/2014 0:00,2014
744,20-12-14,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,26.1,70.8,"pm2 77,rspm 164","APIIC Building, IDA, Pashamylaram",12/20/2014 0:00,2014
11,12/12/2015,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,26,58,"pm2 91,rspm 166","Bator, Howrah",12/12/2015 0:00,2015
691,11/11/2015,"Odisha,Paradeep",Odisha State Pollution Control Board,Industrial Area,,26,24,"pm2 42,rspm 133",Over the STP of M/s IFFCO Ltd.,11/11/2015 0:00,2015
SAMP,13-07-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,26,29,"pm2 40,rspm 89","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/13/2015 0:00,2015
SAMP,6/7/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,26,28,"pm2 35,rspm 84","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/6/2015 0:00,2015
