####,,,,,,,,,,,
##################,,"India Pollution levels, State wise, 2014-2015",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
stn_code,sampling_date,State_location,agency,type,p_value,so2,no2,pm2_rspm,location_monitoring_station,date,Year
333,26-08-15,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,18,"pm2 31,rspm 90","Dandia Bazaar, Vadodara",8/26/2015 0:00,2015
374,9/2/2015,"Gujarat,Rajkot",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,18,"pm2 31,rspm 77","Regional Offce, Rajkot",2/9/2015 0:00,2015
SAMP,27-01-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,13,18,"pm2 31,rspm 92","GIDC OFFICE TERRACE, GIDC ESTATE JHAGADIA,ANKLESHWAR",1/27/2015 0:00,2015
257,2/2/2015,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 30,rspm 85","Sardhara Industrial Corporation, Rajkot",2/2/2015 0:00,2015
252,20-02-14,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 29,rspm 95",Rallis India Ltd. Ankaleshwar,2/20/2014 0:00,2014
257,18-08-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 29,rspm 88","Sardhara Industrial Corporation, Rajkot",8/18/2014 0:00,2014
374,7/7/2014,"Gujarat,Rajkot",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,17,"pm2 31,rspm 86","Regional Offce, Rajkot",7/7/2014 0:00,2014
22,5/3/2015,"Gujarat,Surat",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 29,rspm 88","B.R.C. High School, Udhna, Surat",3/5/2015 0:00,2015
154,8/1/2015,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 29,rspm 86","Shardaben Hospital, Saraspur, Ahmadabad",1/8/2015 0:00,2015
23,17-02-14,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,16,"pm2 31,rspm 100","Near Air India Office, Surat",2/17/2014 0:00,2014
154,19-01-15,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 29,rspm 88","Shardaben Hospital, Saraspur, Ahmadabad",1/19/2015 0:00,2015
367,8/1/2015,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 29,rspm 75","GEB, IIIrd Phase, GIDC, Vapi",1/8/2015 0:00,2015
367,12/2/2015,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 29,rspm 90","GEB, IIIrd Phase, GIDC, Vapi",2/12/2015 0:00,2015
154,21-07-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 28,rspm 78","Shardaben Hospital, Saraspur, Ahmadabad",7/21/2014 0:00,2014
367,28-08-14,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 28,rspm 90","GEB, IIIrd Phase, GIDC, Vapi",8/28/2014 0:00,2014
154,19-02-15,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 28,rspm 97","Shardaben Hospital, Saraspur, Ahmadabad",2/19/2015 0:00,2015
101,9/3/2015,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 27,rspm 83","Naroda, G.I.D.C., Ahmadabad",3/9/2015 0:00,2015
154,12/3/2015,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 27,rspm 88","Shardaben Hospital, Saraspur, Ahmadabad",3/12/2015 0:00,2015
257,17-03-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 26,rspm 65","Sardhara Industrial Corporation, Rajkot",3/17/2014 0:00,2014
367,26-02-15,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 26,rspm 86","GEB, IIIrd Phase, GIDC, Vapi",2/26/2015 0:00,2015
154,23-06-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 25,rspm 74","Shardaben Hospital, Saraspur, Ahmadabad",6/23/2014 0:00,2014
252,9/3/2015,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 25,rspm 81",Rallis India Ltd. Ankaleshwar,3/9/2015 0:00,2015
154,5/8/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 24,rspm 88","Shardaben Hospital, Saraspur, Ahmadabad",8/5/2014 0:00,2014
154,6/12/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 24,rspm 81","Shardaben Hospital, Saraspur, Ahmadabad",12/6/2014 0:00,2014
257,13-03-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,20,"pm2 24,rspm 67","Sardhara Industrial Corporation, Rajkot",3/13/2014 0:00,2014
154,12/1/2015,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,20,"pm2 24,rspm 65","Shardaben Hospital, Saraspur, Ahmadabad",1/12/2015 0:00,2015
347,7/7/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,21,"pm2 30,rspm 86","AZL Behrampura, Ahmadabad",7/7/2014 0:00,2014
253,17-07-14,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 30,rspm 97","Durga Traders, Bhavanafarm Society , Ankaleshwar",7/17/2014 0:00,2014
21,4/3/2014,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 30,rspm 83","S.V.R. Engg. College, Surat",3/4/2014 0:00,2014
21,18-08-14,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 30,rspm 89","S.V.R. Engg. College, Surat",8/18/2014 0:00,2014
221,8/1/2015,"Gujarat,Vapi",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 30,rspm 74","Vapi Nagar Palika, Vapi",1/8/2015 0:00,2015
221,29-01-15,"Gujarat,Vapi",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 30,rspm 79","Vapi Nagar Palika, Vapi",1/29/2015 0:00,2015
347,23-03-15,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,21,"pm2 30,rspm 87","AZL Behrampura, Ahmadabad",3/23/2015 0:00,2015
SAMP,26-03-15,"Gujarat,Bharuch",Gujarat State Pollution Control Board,RIRUO,,13,21,"pm2 30,rspm 83","Learning centre Saraswati Township of RIL,Bharuch",3/26/2015 0:00,2015
347,30-01-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,20,"pm2 30,rspm 83","AZL Behrampura, Ahmadabad",1/30/2014 0:00,2014
21,23-06-14,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 30,rspm 104","S.V.R. Engg. College, Surat",6/23/2014 0:00,2014
50,26-02-15,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 30,rspm 88","GPCB Office, Geri Vasahat, Vadodara",2/26/2015 0:00,2015
50,8/6/2015,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 30,rspm 80","GPCB Office, Geri Vasahat, Vadodara",6/8/2015 0:00,2015
319,6/2/2015,"Gujarat,Jamnagar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 30,rspm 78","Fisheries Office, Jamnagar.",2/6/2015 0:00,2015
813,5/2/2015,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 30,rspm 96","Reliable Products, 61/62 Ilaben estate,PIRANA DUMP SITE,NAROL",2/5/2015 0:00,2015
813,9/3/2015,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 30,rspm 87","Reliable Products, 61/62 Ilaben estate,PIRANA DUMP SITE,NAROL",3/9/2015 0:00,2015
813,19-03-15,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 30,rspm 86","Reliable Products, 61/62 Ilaben estate,PIRANA DUMP SITE,NAROL",3/19/2015 0:00,2015
SAMP,2/3/2015,"Gujarat,VAPI",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 30,rspm 85","Yasho Industries Phase-III, GIDC,VAPI",3/2/2015 0:00,2015
SAMP,5/2/2015,"Gujarat,MORBI",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 30,rspm 89","Eagle sanatory wares, Vill-Jambudiya,MORBI",2/5/2015 0:00,2015
SAMP,6/2/2015,"Gujarat,MORBI",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 30,rspm 91","Fire Brigade station,MORBI",2/6/2015 0:00,2015
SAMP,20-03-15,"Gujarat,MORBI",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 30,rspm 95","Fire Brigade station,MORBI",3/20/2015 0:00,2015
21,2/2/2015,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 30,rspm 92","S.V.R. Engg. College, Surat",2/2/2015 0:00,2015
333,5/8/2015,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 30,rspm 87","Dandia Bazaar, Vadodara",8/5/2015 0:00,2015
374,23-02-15,"Gujarat,Rajkot",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 30,rspm 72","Regional Offce, Rajkot",2/23/2015 0:00,2015
SAMP,22-01-15,"Gujarat,MORBI",Gujarat State Pollution Control Board,RIRUO,,13,19,"pm2 30,rspm 95","Fire Brigade station,MORBI",1/22/2015 0:00,2015
102,30-01-14,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,18,"pm2 30,rspm 85","Cadilla Bridge Narol, Ahmadabad",1/30/2014 0:00,2014
257,6/2/2014,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 42,rspm 91","Sardhara Industrial Corporation, Rajkot",2/6/2014 0:00,2014
257,26-06-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 41,rspm 99","Sardhara Industrial Corporation, Rajkot",6/26/2014 0:00,2014
101,19-02-15,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 38,rspm 104","Naroda, G.I.D.C., Ahmadabad",2/19/2015 0:00,2015
38,4/6/2015,"Tamil Nadu,Chennai",Tamilnadu State Pollution Control Board,Industrial Area,,13,19,"pm2 38,rspm 59","Kathivakkam, Municipal Kalyana Mandapam, Chennai",6/4/2015 0:00,2015
154,5/3/2015,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,19,"pm2 35,rspm 89","Shardaben Hospital, Saraspur, Ahmadabad",3/5/2015 0:00,2015
252,5/2/2015,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 34,rspm 83",Rallis India Ltd. Ankaleshwar,2/5/2015 0:00,2015
257,14-07-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 33,rspm 72","Sardhara Industrial Corporation, Rajkot",7/14/2014 0:00,2014
367,24-03-14,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 33,rspm 103","GEB, IIIrd Phase, GIDC, Vapi",3/24/2014 0:00,2014
516,16-12-15,"Madhya Pradesh,Singrauli",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,13,15,"pm2 29.31,rspm 75","Waidhan, Singrauli",12/16/2015 0:00,2015
154,23-03-15,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,19,"pm2 33,rspm 95","Shardaben Hospital, Saraspur, Ahmadabad",3/23/2015 0:00,2015
257,15-01-15,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 33,rspm 86","Sardhara Industrial Corporation, Rajkot",1/15/2015 0:00,2015
367,25-08-14,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 32,rspm 110","GEB, IIIrd Phase, GIDC, Vapi",8/25/2014 0:00,2014
101,15-01-15,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 32,rspm 74","Naroda, G.I.D.C., Ahmadabad",1/15/2015 0:00,2015
367,24-07-14,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 31,rspm 99","GEB, IIIrd Phase, GIDC, Vapi",7/24/2014 0:00,2014
154,16-06-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,19,"pm2 30,rspm 72","Shardaben Hospital, Saraspur, Ahmadabad",6/16/2014 0:00,2014
252,19-01-15,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 30,rspm 87",Rallis India Ltd. Ankaleshwar,1/19/2015 0:00,2015
154,2/3/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,19,"pm2 28,rspm 82","Shardaben Hospital, Saraspur, Ahmadabad",3/2/2014 0:00,2014
257,3/10/2014,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 28,rspm 72","Sardhara Industrial Corporation, Rajkot",10/3/2014 0:00,2014
22,19-02-15,"Gujarat,Surat",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 27,rspm 86","B.R.C. High School, Udhna, Surat",2/19/2015 0:00,2015
154,2/2/2015,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,19,"pm2 27,rspm 83","Shardaben Hospital, Saraspur, Ahmadabad",2/2/2015 0:00,2015
154,5/1/2015,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,19,"pm2 26,rspm 71","Shardaben Hospital, Saraspur, Ahmadabad",1/5/2015 0:00,2015
257,23-02-15,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 26,rspm 93","Sardhara Industrial Corporation, Rajkot",2/23/2015 0:00,2015
257,20-03-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,19,"pm2 25,rspm 66","Sardhara Industrial Corporation, Rajkot",3/20/2014 0:00,2014
154,1/6/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,19,"pm2 23,rspm 66","Shardaben Hospital, Saraspur, Ahmadabad",6/1/2014 0:00,2014
38,23-07-15,"Tamil Nadu,Chennai",Tamilnadu State Pollution Control Board,Industrial Area,,13,19,"pm2 20,rspm 38","Kathivakkam, Municipal Kalyana Mandapam, Chennai",7/23/2015 0:00,2015
347,27-03-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,23,"pm2 29,rspm 78","AZL Behrampura, Ahmadabad",3/27/2014 0:00,2014
253,24-11-14,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,22,"pm2 29,rspm 81","Durga Traders, Bhavanafarm Society , Ankaleshwar",11/24/2014 0:00,2014
221,3/6/2014,"Gujarat,Vapi",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,22,"pm2 29,rspm 82","Vapi Nagar Palika, Vapi",6/3/2014 0:00,2014
SAMP,19-01-15,"Gujarat,SANAND",Gujarat State Pollution Control Board,RIRUO,,13,22,"pm2 29,rspm 101","Zydas Infratech-Pharmez matoda GIDC NH-8A, Changodar,SANAND",1/19/2015 0:00,2015
374,16-06-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 29,rspm 92","Regional Offce, Rajkot",6/16/2014 0:00,2014
21,7/7/2014,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 29,rspm 70","S.V.R. Engg. College, Surat",7/7/2014 0:00,2014
23,28-08-14,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 29,rspm 99","Near Air India Office, Surat",8/28/2014 0:00,2014
333,8/11/2014,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 29,rspm 88","Dandia Bazaar, Vadodara",11/8/2014 0:00,2014
221,28-08-14,"Gujarat,Vapi",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 29,rspm 92","Vapi Nagar Palika, Vapi",8/28/2014 0:00,2014
221,15-01-15,"Gujarat,Vapi",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 29,rspm 87","Vapi Nagar Palika, Vapi",1/15/2015 0:00,2015
SAMP,5/1/2015,"Gujarat,Bhuj",Gujarat State Pollution Control Board,RIRUO,,13,21,"pm2 29,rspm 79","Amrut Chambers, Baroi Road, Mundra, Kutch,Bhuj",1/5/2015 0:00,2015
SAMP,29-01-15,"Gujarat,MORBI",Gujarat State Pollution Control Board,RIRUO,,13,21,"pm2 29,rspm 94","Eagle sanatory wares, Vill-Jambudiya,MORBI",1/29/2015 0:00,2015
103,21-04-14,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 29,rspm 88","L.D. Engineering College, Ahmadabad",4/21/2014 0:00,2014
347,5/1/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,20,"pm2 29,rspm 67","AZL Behrampura, Ahmadabad",1/5/2014 0:00,2014
155,5/12/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,20,"pm2 29,rspm 86","R.C. High School, Mirzapur, Ahmadabad",12/5/2014 0:00,2014
50,7/3/2014,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 29,rspm 91","GPCB Office, Geri Vasahat, Vadodara",3/7/2014 0:00,2014
50,26-03-15,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 29,rspm 77","GPCB Office, Geri Vasahat, Vadodara",3/26/2015 0:00,2015
333,12/9/2015,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 29,rspm 91","Dandia Bazaar, Vadodara",9/12/2015 0:00,2015
347,12/3/2015,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,20,"pm2 29,rspm 85","AZL Behrampura, Ahmadabad",3/12/2015 0:00,2015
SAMP,26-03-15,"Gujarat,VAPI",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 29,rspm 89","Yasho Industries Phase-III, GIDC,VAPI",3/26/2015 0:00,2015
SAMP,22-02-15,"Gujarat,Bharuch",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 29,rspm 94","Dahez SEZ Part –II Office,Bharuch",2/22/2015 0:00,2015
SAMP,8/1/2015,"Gujarat,MORBI",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 29,rspm 87","Fire Brigade station,MORBI",1/8/2015 0:00,2015
103,2/6/2014,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 29,rspm 75","L.D. Engineering College, Ahmadabad",6/2/2014 0:00,2014
347,19-06-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,19,"pm2 29,rspm 74","AZL Behrampura, Ahmadabad",6/19/2014 0:00,2014
50,9/3/2015,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 29,rspm 77","GPCB Office, Geri Vasahat, Vadodara",3/9/2015 0:00,2015
103,23-02-15,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 29,rspm 94","L.D. Engineering College, Ahmadabad",2/23/2015 0:00,2015
333,8/1/2015,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 29,rspm 80","Dandia Bazaar, Vadodara",1/8/2015 0:00,2015
374,12/1/2015,"Gujarat,Rajkot",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,19,"pm2 29,rspm 84","Regional Offce, Rajkot",1/12/2015 0:00,2015
155,19-02-15,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,18,"pm2 29,rspm 94","R.C. High School, Mirzapur, Ahmadabad",2/19/2015 0:00,2015
367,2/2/2015,"Gujarat,Vapi",Gujarat State Pollution Control Board,Industrial Area,,13,18,"pm2 33,rspm 99","GEB, IIIrd Phase, GIDC, Vapi",2/2/2015 0:00,2015
155,3/6/2014,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,13,16,"pm2 29,rspm 86","R.C. High School, Mirzapur, Ahmadabad",6/3/2014 0:00,2014
38,2/7/2015,"Tamil Nadu,Chennai",Tamilnadu State Pollution Control Board,Industrial Area,,13,18,"pm2 32,rspm 56","Kathivakkam, Municipal Kalyana Mandapam, Chennai",7/2/2015 0:00,2015
154,21-04-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,18,"pm2 26,rspm 82","Shardaben Hospital, Saraspur, Ahmadabad",4/21/2014 0:00,2014
257,27-03-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,18,"pm2 24,rspm 65","Sardhara Industrial Corporation, Rajkot",3/27/2014 0:00,2014
257,5/1/2014,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,18,"pm2 24,rspm 60","Sardhara Industrial Corporation, Rajkot",1/5/2014 0:00,2014
253,8/11/2014,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 28,rspm 92","Durga Traders, Bhavanafarm Society , Ankaleshwar",11/8/2014 0:00,2014
21,3/6/2014,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 28,rspm 77","S.V.R. Engg. College, Surat",6/3/2014 0:00,2014
21,30-06-14,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 28,rspm 101","S.V.R. Engg. College, Surat",6/30/2014 0:00,2014
21,8/7/2014,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 28,rspm 96","S.V.R. Engg. College, Surat",7/8/2014 0:00,2014
50,19-06-14,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,21,"pm2 28,rspm 94","GPCB Office, Geri Vasahat, Vadodara",6/19/2014 0:00,2014
SAMP,5/2/2015,"Gujarat,Bharuch",Gujarat State Pollution Control Board,RIRUO,,13,21,"pm2 28,rspm 82","Learning centre Saraswati Township of RIL,Bharuch",2/5/2015 0:00,2015
SAMP,2/3/2015,"Gujarat,Bharuch",Gujarat State Pollution Control Board,RIRUO,,13,21,"pm2 28,rspm 76","Learning centre Saraswati Township of RIL,Bharuch",3/2/2015 0:00,2015
257,30-06-14,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,17,"pm2 39,rspm 108","Sardhara Industrial Corporation, Rajkot",6/30/2014 0:00,2014
22,22-01-15,"Gujarat,Surat",Gujarat State Pollution Control Board,Industrial Area,,13,17,"pm2 32,rspm 105","B.R.C. High School, Udhna, Surat",1/22/2015 0:00,2015
103,8/4/2014,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 76","L.D. Engineering College, Ahmadabad",4/8/2014 0:00,2014
257,26-01-15,"Gujarat,Rajkot",Gujarat State Pollution Control Board,Industrial Area,,13,17,"pm2 28,rspm 84","Sardhara Industrial Corporation, Rajkot",1/26/2015 0:00,2015
253,25-08-14,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 90","Durga Traders, Bhavanafarm Society , Ankaleshwar",8/25/2014 0:00,2014
253,10/9/2014,"Gujarat,Ankleshwar",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 81","Durga Traders, Bhavanafarm Society , Ankaleshwar",9/10/2014 0:00,2014
374,5/5/2014,"Gujarat,Rajkot",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 84","Regional Offce, Rajkot",5/5/2014 0:00,2014
374,6/9/2014,"Gujarat,Rajkot",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 81","Regional Offce, Rajkot",9/6/2014 0:00,2014
50,28-07-14,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 100","GPCB Office, Geri Vasahat, Vadodara",7/28/2014 0:00,2014
154,16-01-14,"Gujarat,Ahmedabad",National Environmental Engineering Research Institute,Industrial Area,,13,17,"pm2 25,rspm 77","Shardaben Hospital, Saraspur, Ahmadabad",1/16/2014 0:00,2014
21,5/1/2015,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 86","S.V.R. Engg. College, Surat",1/5/2015 0:00,2015
21,19-02-15,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 86","S.V.R. Engg. College, Surat",2/19/2015 0:00,2015
23,26-02-15,"Gujarat,Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 77","Near Air India Office, Surat",2/26/2015 0:00,2015
103,5/2/2015,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 75","L.D. Engineering College, Ahmadabad",2/5/2015 0:00,2015
103,19-03-15,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 71","L.D. Engineering College, Ahmadabad",3/19/2015 0:00,2015
22,2/6/2014,"Gujarat,Surat",Gujarat State Pollution Control Board,Industrial Area,,13,17,"pm2 24,rspm 84","B.R.C. High School, Udhna, Surat",6/2/2014 0:00,2014
221,16-02-15,"Gujarat,Vapi",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 85","Vapi Nagar Palika, Vapi",2/16/2015 0:00,2015
333,17-06-15,"Gujarat,Vadodara",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",,13,20,"pm2 28,rspm 96","Dandia Bazaar, Vadodara",6/17/2015 0:00,2015
SAMP,12/3/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 28,rspm 75","GIDC OFFICE TERRACE, GIDC ESTATE JHAGADIA,ANKLESHWAR",3/12/2015 0:00,2015
SAMP,7/1/2015,"Gujarat,Bharuch",Gujarat State Pollution Control Board,RIRUO,,13,20,"pm2 28,rspm 89","Dahez SEZ Part –II Office,Bharuch",1/7/2015 0:00,2015
